max:+54.3609052174y1+41.6104y2+52.923513913y3+49.1562930435y4+44.5650965217y5+53.0868052174y6+48.6413078261y7+44.7346895652y8+50.1632104348y9+50.4943634783y10+50.6538547826y11+53.2614234783y12+53.2884208696y13+42.6381513043y14+54.6917321739y15+55.35534y16+45.6854678261y17+50.0456147826y18+52.8137426087y19+54.8096713043y20+46.6424982609y21+50.3248113043y22+49.2272930435y23+48.2184304348y24+50.5416182609y25+49.7033086957y26+53.2139843478y27+51.7175069565y28+44.025606087y29+49.1802078261y30+54.0118669565y31+45.4941956522y32+47.901273913y33+50.6440547826y34+50.8569121739y35+48.6048391304y36+49.5120452174y37+49.3205008696y38+38.4620095652y39+52.5118869565y40+52.8001443478y41+47.1930226087y42+49.1249278261y43+48.8258782609y44+46.2490747826y45+53.2860034783y46+45.5560113043y47+43.8806295652y48+48.2738652174y49+38.260526087y50+52.5937982609y51+52.3274565217y52+45.1143817391y53+51.1980391304y54+46.3809695652y55+48.3631791304y56+45.1643756522y57+46.8327182609y58+45.6416286957y59+42.0481947826y60+50.7688530435y61+52.5333773913y62+50.9357486957y63+52.7881921739y64+54.3863208696y65+43.6352973913y66+52.7279086957y67+47.1395252174y68+50.7315147826y69+50.9096904348y70+49.4891843478y71+43.3754895652y72+53.925586087y73+45.5744573913y74+46.9561269565y75+49.3431043478y76+50.9419782609y77+47.6812269565y78+49.4253026087y79+48.3938391304y80+48.6438486957y81+54.2653495652y82+51.6719269565y83+51.138466087y84+49.7544713043y85+47.5979408696y86+50.5120765217y87+55.7741086957y88+52.9355878261y89+50.0917547826y90+51.8560191304y91+49.98868y92+43.3616426087y93+52.30912y94+51.9728704348y95+45.3023165217y96+52.4036817391y97+43.9516104348y98+51.3087973913y99+49.2148043478y100+45.8725234783y101+55.754646087y102+51.8003930435y103+53.1113991304y104+55.6457382609y105+50.2633426087y106+49.8601704348y107+49.1201165217y108+51.3339565217y109+49.23406y110+47.3045556522y111+48.7116852174y112+51.5573973913y113+55.6775878261y114+56.8490869565y115;
+54.3609052174x1+41.6104x2+52.923513913x3+49.1562930435x4+44.5650965217x5+53.0868052174x6+48.6413078261x7+44.7346895652x8+50.1632104348x9+50.4943634783x10+50.6538547826x11+53.2614234783x12+53.2884208696x13+42.6381513043x14+54.6917321739x15+55.35534x16+45.6854678261x17+50.0456147826x18+52.8137426087x19+54.8096713043x20+46.6424982609x21+50.3248113043x22+49.2272930435x23+48.2184304348x24+50.5416182609x25+49.7033086957x26+53.2139843478x27+51.7175069565x28+44.025606087x29+49.1802078261x30+54.0118669565x31+45.4941956522x32+47.901273913x33+50.6440547826x34+50.8569121739x35+48.6048391304x36+49.5120452174x37+49.3205008696x38+38.4620095652x39+52.5118869565x40+52.8001443478x41+47.1930226087x42+49.1249278261x43+48.8258782609x44+46.2490747826x45+53.2860034783x46+45.5560113043x47+43.8806295652x48+48.2738652174x49+38.260526087x50+52.5937982609x51+52.3274565217x52+45.1143817391x53+51.1980391304x54+46.3809695652x55+48.3631791304x56+45.1643756522x57+46.8327182609x58+45.6416286957x59+42.0481947826x60+50.7688530435x61+52.5333773913x62+50.9357486957x63+52.7881921739x64+54.3863208696x65+43.6352973913x66+52.7279086957x67+47.1395252174x68+50.7315147826x69+50.9096904348x70+49.4891843478x71+43.3754895652x72+53.925586087x73+45.5744573913x74+46.9561269565x75+49.3431043478x76+50.9419782609x77+47.6812269565x78+49.4253026087x79+48.3938391304x80+48.6438486957x81+54.2653495652x82+51.6719269565x83+51.138466087x84+49.7544713043x85+47.5979408696x86+50.5120765217x87+55.7741086957x88+52.9355878261x89+50.0917547826x90+51.8560191304x91+49.98868x92+43.3616426087x93+52.30912x94+51.9728704348x95+45.3023165217x96+52.4036817391x97+43.9516104348x98+51.3087973913x99+49.2148043478x100+45.8725234783x101+55.754646087x102+51.8003930435x103+53.1113991304x104+55.6457382609x105+50.2633426087x106+49.8601704348x107+49.1201165217x108+51.3339565217x109+49.23406x110+47.3045556522x111+48.7116852174x112+51.5573973913x113+55.6775878261x114+56.8490869565x115 > +54.3609052174y1+41.6104y2+52.923513913y3+49.1562930435y4+44.5650965217y5+53.0868052174y6+48.6413078261y7+44.7346895652y8+50.1632104348y9+50.4943634783y10+50.6538547826y11+53.2614234783y12+53.2884208696y13+42.6381513043y14+54.6917321739y15+55.35534y16+45.6854678261y17+50.0456147826y18+52.8137426087y19+54.8096713043y20+46.6424982609y21+50.3248113043y22+49.2272930435y23+48.2184304348y24+50.5416182609y25+49.7033086957y26+53.2139843478y27+51.7175069565y28+44.025606087y29+49.1802078261y30+54.0118669565y31+45.4941956522y32+47.901273913y33+50.6440547826y34+50.8569121739y35+48.6048391304y36+49.5120452174y37+49.3205008696y38+38.4620095652y39+52.5118869565y40+52.8001443478y41+47.1930226087y42+49.1249278261y43+48.8258782609y44+46.2490747826y45+53.2860034783y46+45.5560113043y47+43.8806295652y48+48.2738652174y49+38.260526087y50+52.5937982609y51+52.3274565217y52+45.1143817391y53+51.1980391304y54+46.3809695652y55+48.3631791304y56+45.1643756522y57+46.8327182609y58+45.6416286957y59+42.0481947826y60+50.7688530435y61+52.5333773913y62+50.9357486957y63+52.7881921739y64+54.3863208696y65+43.6352973913y66+52.7279086957y67+47.1395252174y68+50.7315147826y69+50.9096904348y70+49.4891843478y71+43.3754895652y72+53.925586087y73+45.5744573913y74+46.9561269565y75+49.3431043478y76+50.9419782609y77+47.6812269565y78+49.4253026087y79+48.3938391304y80+48.6438486957y81+54.2653495652y82+51.6719269565y83+51.138466087y84+49.7544713043y85+47.5979408696y86+50.5120765217y87+55.7741086957y88+52.9355878261y89+50.0917547826y90+51.8560191304y91+49.98868y92+43.3616426087y93+52.30912y94+51.9728704348y95+45.3023165217y96+52.4036817391y97+43.9516104348y98+51.3087973913y99+49.2148043478y100+45.8725234783y101+55.754646087y102+51.8003930435y103+53.1113991304y104+55.6457382609y105+50.2633426087y106+49.8601704348y107+49.1201165217y108+51.3339565217y109+49.23406y110+47.3045556522y111+48.7116852174y112+51.5573973913y113+55.6775878261y114+56.8490869565y115;
y1 + x1<= 1;
y2 + x2<= 1;
y3 + x3<= 1;
y4 + x4<= 1;
y5 + x5<= 1;
y6 + x6<= 1;
y7 + x7<= 1;
y8 + x8<= 1;
y9 + x9<= 1;
y10 + x10<= 1;
y11 + x11<= 1;
y12 + x12<= 1;
y13 + x13<= 1;
y14 + x14<= 1;
y15 + x15<= 1;
y16 + x16<= 1;
y17 + x17<= 1;
y18 + x18<= 1;
y19 + x19<= 1;
y20 + x20<= 1;
y21 + x21<= 1;
y22 + x22<= 1;
y23 + x23<= 1;
y24 + x24<= 1;
y25 + x25<= 1;
y26 + x26<= 1;
y27 + x27<= 1;
y28 + x28<= 1;
y29 + x29<= 1;
y30 + x30<= 1;
y31 + x31<= 1;
y32 + x32<= 1;
y33 + x33<= 1;
y34 + x34<= 1;
y35 + x35<= 1;
y36 + x36<= 1;
y37 + x37<= 1;
y38 + x38<= 1;
y39 + x39<= 1;
y40 + x40<= 1;
y41 + x41<= 1;
y42 + x42<= 1;
y43 + x43<= 1;
y44 + x44<= 1;
y45 + x45<= 1;
y46 + x46<= 1;
y47 + x47<= 1;
y48 + x48<= 1;
y49 + x49<= 1;
y50 + x50<= 1;
y51 + x51<= 1;
y52 + x52<= 1;
y53 + x53<= 1;
y54 + x54<= 1;
y55 + x55<= 1;
y56 + x56<= 1;
y57 + x57<= 1;
y58 + x58<= 1;
y59 + x59<= 1;
y60 + x60<= 1;
y61 + x61<= 1;
y62 + x62<= 1;
y63 + x63<= 1;
y64 + x64<= 1;
y65 + x65<= 1;
y66 + x66<= 1;
y67 + x67<= 1;
y68 + x68<= 1;
y69 + x69<= 1;
y70 + x70<= 1;
y71 + x71<= 1;
y72 + x72<= 1;
y73 + x73<= 1;
y74 + x74<= 1;
y75 + x75<= 1;
y76 + x76<= 1;
y77 + x77<= 1;
y78 + x78<= 1;
y79 + x79<= 1;
y80 + x80<= 1;
y81 + x81<= 1;
y82 + x82<= 1;
y83 + x83<= 1;
y84 + x84<= 1;
y85 + x85<= 1;
y86 + x86<= 1;
y87 + x87<= 1;
y88 + x88<= 1;
y89 + x89<= 1;
y90 + x90<= 1;
y91 + x91<= 1;
y92 + x92<= 1;
y93 + x93<= 1;
y94 + x94<= 1;
y95 + x95<= 1;
y96 + x96<= 1;
y97 + x97<= 1;
y98 + x98<= 1;
y99 + x99<= 1;
y100 + x100<= 1;
y101 + x101<= 1;
y102 + x102<= 1;
y103 + x103<= 1;
y104 + x104<= 1;
y105 + x105<= 1;
y106 + x106<= 1;
y107 + x107<= 1;
y108 + x108<= 1;
y109 + x109<= 1;
y110 + x110<= 1;
y111 + x111<= 1;
y112 + x112<= 1;
y113 + x113<= 1;
y114 + x114<= 1;
y115 + x115<= 1;
+y1+y2+y3+y4+y5+y6+y7+y8+y9+y10+y11+y12+y13+y14+y15+y16+y17+y18+y19+y20+y21+y22+y23+y24+y25+y26+y27+y28+y29+y30+y31+y32+y33+y34+y35+y36+y37+y38+y39+y40+y41+y42+y43+y44+y45+y46+y47+y48+y49+y50+y51+y52+y53+y54+y55+y56+y57+y58+y59+y60+y61+y62+y63+y64+y65+y66+y67+y68+y69+y70+y71+y72+y73+y74+y75+y76+y77+y78+y79+y80+y81+y82+y83+y84+y85+y86+y87+y88+y89+y90+y91+y92+y93+y94+y95+y96+y97+y98+y99+y100+y101+y102+y103+y104+y105+y106+y107+y108+y109+y110+y111+y112+y113+y114+y115 = 5;
+x1+x2+x3+x4+x5+x6+x7+x8+x9+x10+x11+x12+x13+x14+x15+x16+x17+x18+x19+x20+x21+x22+x23+x24+x25+x26+x27+x28+x29+x30+x31+x32+x33+x34+x35+x36+x37+x38+x39+x40+x41+x42+x43+x44+x45+x46+x47+x48+x49+x50+x51+x52+x53+x54+x55+x56+x57+x58+x59+x60+x61+x62+x63+x64+x65+x66+x67+x68+x69+x70+x71+x72+x73+x74+x75+x76+x77+x78+x79+x80+x81+x82+x83+x84+x85+x86+x87+x88+x89+x90+x91+x92+x93+x94+x95+x96+x97+x98+x99+x100+x101+x102+x103+x104+x105+x106+x107+x108+x109+x110+x111+x112+x113+x114+x115 = 5;
+396.4642y1+637.4745y2+323.8054y3+571.0794y4+535.1677y5+416.9674y6+279.3796y7+343.2513y8+393.0752y9+462.0331y10+399.2529y11+419.8259y12+419.6956y13+435.3399y14+400.9609y15+471.0096y16+312.3513y17+427.8728y18+348.7662y19+314.2053y20+379.5588y21+346.6374y22+281.1442y23+410.5327y24+297.7923y25+458.9386y26+458.2355y27+439.9793y28+293.5767y29+342.3601y30+331.8343y31+485.2319y32+382.5435y33+412.9696y34+485.0854y35+483.365y36+410.3399y37+480.072y38+265.6878y39+332.7999y40+527.1206y41+341.9111y42+420.1043y43+428.334y44+394.2679y45+319.2368y46+436.5226y47+417.2395y48+291.0965y49+458.2969y50+537.3894y51+449.345y52+386.3103y53+549.9988y54+511.9601y55+395.8794y56+428.5058y57+495.1668y58+443.3559y59+483.0955y60+396.8474y61+362.7964y62+351.2963y63+304.0481y64+372.7085y65+281.4899y66+471.3336y67+438.075y68+471.5887y69+466.5005y70+374.7877y71+461.4007y72+354.012y73+363.5391y74+457.9389y75+449.882y76+348.3538y77+298.0359y78+365.6524y79+299.9119y80+537.5296y81+327.5401y82+350.6298y83+335.2837y84+341.3965y85+452.5799y86+475.3398y87+485.1824y88+338.8381y89+490.2806y90+492.3142y91+404.9911y92+474.9196y93+507.5304y94+352.1291y95+426.7014y96+487.355y97+431.021y98+295.225y99+460.7886y100+365.6274y101+405.6401y102+323.049y103+433.063y104+335.8189y105+420.4146y106+423.7905y107+383.9109y108+323.6479y109+443.5882y110+409.1428y111+337.5963y112+327.8914y113+465.7684y114+408.412y115 <= 2033.34506087;
